453,F A TAPACHULA HOSPITAL                          C,00819 - TAP_IS14_ISSSTECH HOSPITAL TAPACHULA_00819,IS14,Cerrada,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,PROLONGACION DE LA 5A SUR,,SN,LOS LAURELES,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
79,F A TAPACHULA 8A SUR,00102 - TAP_TP8A_8A SUR_00102,TP8A,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,8A. SUR,,S/N,CENTRO,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
80,F A TAPACHULA CENTRAL SUR,00103 - TAP_TPCE_CENTRAL SUR_00103,TPCE,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,CENTRAL SUR,,93,CENTRO,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
127,F A TAPACHULA SAN JUAN,00104 - TAP_TPSJ_SAN JUAN_00104,TPSJ,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,S,14 PRIVADA NORTE,,143,CENTRO,TAPACHULA DE CORDOVA Y ORDOÑEZ,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
128,F A TAPACHULA 4A NORTE,00097 - TAP_TP4A_4A NORTE_00097,TP4A,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,4A. NORTE,,32-B,CENTRO,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
138,F A TAPACHULA 13 SUR,00108 - TAP_TP13_13 SUR_00108,TP13,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,S,13A. SUR,,208,CENTRO,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
139,F A TAPACHULA 10A NORTE,00101 - TAP_TP10_10A NORTE_00101,TP10,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,10A. NORTE,,30,CENTRO,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
146,F A TAPACHULA 6A. NORTE,00109 - TAP_TP6A_6A NORTE_00109,TP6A,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,S,6A. NORTE,,35,CENTRO,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
147,F A TAPACHULA 9A SUR,00098 - TAP_TP9A_9A SUR_00098,TP9A,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,S,9A AVENIDA SUR,,41,CENTRO,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
159,F A TAPACHULA LAURELES,00105 - TAP_TPLA_LAURELES_00105,TPLA,Abierta,TAPACHULA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,AV LAS PALMAS,,79,LOS LAURELES,TAPACHULA,CHIAPAS,TAPACHULA,PROVINCIA,SURESTE
2162,F A TAPACHULA 1a NORTE CD HIDALGO,01938 - TAP_TPHG_1a NORTE CD HIDALGO_01938,TPHG,Abierta,SUCHIATE,TAPACHULA,1,FARMACIAS DEL AHORRO,S,1A AVENIDA NORTE,,S/N,CENTRO,CIUDAD HIDALGO,CHIAPAS,SUCHIATE,PROVINCIA,SURESTE
1051,F A SIMOJOVEL ISSTECH SIMOJOVEL          C,00955 - TUI_TXIJ_ISSTECH SIMOJOVEL_00955,TXIJ,Cerrada,SIMOJOVEL,TUXTLA,1,FARMACIAS DEL AHORRO,N,AVENIDA INDEPENDENCIA ORIENTE,,S/N,SIMOJOVEL DE ALLENDE,,CHIAPAS,SIMOJOVEL,PROVINCIA,SURESTE
34,F A SAN CRISTOBAL CATEDRAL,00032 - TUX_TXSC_SAN CRISTOBAL CATEDRAL_00032,TXSC,Abierta,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,S,AV GENERAL UTRILLA,,2,CENTRO,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
1873,F A TUXTLA INSURGENTES,01659 - TUX_TXIS_INSURGENTES_01659,TXIS,Abierta,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,S,PROLONGACION INSURGENTES,,150,MARIA AUXILIADORA,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
2305,F A TUXTLA RAMON LARRAINZAR,02078 - TUX_TXRL_RAMON LARRAINZAR _02078,TXRL,Abierta,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,S,PERIFERICO PONIENTE,,S/N,SAN RAMON,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
14,F A SAN CRISTOBAL BOULEVARD SC,00033 - TUX_TXBL_BOULEVARD SC_00033,TXBL,Abierta,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,S,BLVD JUAN SABINES GTZ,,6-A ,LOS PINOS,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
1944,F A TUXTLA PERIFERICO NORTE,01349 - TUX_TXPN_PERIFERICO NORTE_01349,TXPN,Cerrada,TUXTLA GUTIERREZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,A,,A ,SAN RAMON,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
615,F A SAN CRISTOBAL LAS AMERICAS,00036 - TUX_SCLA_LAS AMERICAS_00036,SCLA,Abierta,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,N,CALZADA LAS AMERICAS,,5 ,SAN DIEGO,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
1057,F A SAN CRISTOBAL ISSTECH SAN CRISTOBAL         C,00961 - TUI_TXRN_ISSTECH SAN CRISTOBAL_00961,TXRN,Cerrada,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,N,DIEGO DE MAZARIEGOS,,81,CENTRO,,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
451,F A SAN CRISTOBAL SAN CRISTOBAL                 C,00825 - (NO UTILIZAR) TUX_IS08_ISSSTECH SAN CRISTOBAL_00825,IS08,Cerrada,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,N,DIEGO MAZARIEGOS,,81,SANTA LUCIA,CHIAPAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
548,F A SAN CRISTOBAL ANDADOR HIDALGO               C,00593 - TUX_SCAH_ANDADOR HIDALGO_00593,SCAH,Cerrada,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,N,CUAUTHEMOC,,S/N,CENTRO,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
1119,F A SAN CRISTOBAL ISECH SAN CRISTOBAL          C,01058 - TUX_TXIT_ISECH SAN CRISTOBAL_01058,TXIT,Cerrada,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,S,BOULEVARD JAVIER LOPEZ,,S/N,SAN DIEGO,,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
447,F A SAN CRISTOBAL TEATRO,00035 - TUX_SCTE_TEATRO_00035,SCTE,Abierta,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,S,DIAGONAL HERMANOS PANIAGUA  ,,50 ,SAN RAMON,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
550,F A SAN CRISTOBAL GENERAL UTRILLA               C,00594 - TUX_SCGU_GENERAL UTRILLA_00594,SCGU,Cerrada,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,N,GENERAL UTRILLA,,9,CENTRO,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
20,F A SAN CRISTOBAL MERCADO,00034 - TUX_SCME_MERCADO_00034,SCME,Abierta,SAN CRISTOBAL DE LAS CASAS,TUXTLA,1,FARMACIAS DEL AHORRO,N,REPUBLICA DOMINICANA,,S/N,CENTRO,SAN CRISTOBAL DE LAS CASAS,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PROVINCIA,SURESTE
2156,F A TAPACHULA CENTRAL NORTE,01919 - TAP_TPCN_CENTRAL NORTE_01919,TPCN,Abierta,PIJIJIAPAN,TAPACHULA,1,FARMACIAS DEL AHORRO,S,CENTRAL NORTE,,32,CENTRO,PIJIJIAPAN,CHIAPAS,PIJIJIAPAN,PROVINCIA,SURESTE
1062,F A PIJIJIAPAN ISSTECH PIJIJIAPAN          C,00966 - TUI_TPIJ_ISSTECH PIJIJIAPAN_00966,TPIJ,Cerrada,PIJIJIAPAN,TAPACHULA,1,FARMACIAS DEL AHORRO,N,5A NORTE,,S/N,PIJIJIAPAN CENTRO,,CHIAPAS,PIJIJIAPAN,PROVINCIA,SURESTE
223,F A PIJIJIAPAN FERROCARRIL,00365 - TAP_PIFE_FERROCARRIL_00365,PIFE,Abierta,PIJIJIAPAN,TAPACHULA,1,FARMACIAS DEL AHORRO,N,1A. PONIENTE,,5 ,CENTRO,PIJIJIAPAN,CHIAPAS,PIJIJIAPAN,PROVINCIA,SURESTE
1066,F A PICHUCALCO ISSTECH PICHUCALCO        C,00970 - TUI_VLIH_ISSTECH PICHUCALCO_00970,VLIH,Cerrada,PICHUCALCO,VILLAHERMOSA,1,FARMACIAS DEL AHORRO,N,CARRETERA PICHUCALCO - TEAPA,,S/N,JORGE CAMACHO,,CHIAPAS,PICHUCALCO,PROVINCIA,SURESTE
471,F A PICHUCALCO PICHUCALCO                       C,00833 - (NO UTILIZAR) VIL_IS01_ISSSTECH PICHUCALCO_00833,IS01,Cerrada,PICHUCALCO,VILLAHERMOSA,1,FARMACIAS DEL AHORRO,S,CARRETERA PICHUCALCO,,SN,PICHUCALCO CENTRO,PICHUCALCO,CHIAPAS,PICHUCALCO,PROVINCIA,SURESTE
1630,F A VILLAHERMOSA PALENQUE,01634 - VIL_VLPQ_PALENQUE_01634,VLPQ,Abierta,PALENQUE,VILLAHERMOSA,1,FARMACIAS DEL AHORRO,N,AV JUAREZ ESQUINA ABASOLO,,S/N,CENTRO,PALENQUE,CHIAPAS,PALENQUE,PROVINCIA,SURESTE
1369,F A PALENQUE PALENQUE II          FC,,FPII,Cerrada,PALENQUE,VILLAHERMOSA,87,FRANQ. PALENQUE,N,CALZADA LAZARO CARDENAS,,1,MONTERREY,PALENQUE,CHIAPAS,PALENQUE,PROVINCIA,SURESTE
1067,F A PALENQUE ISSTECH PALENQUE         C,00971 - TUI_VLIQ_ISSTECH PALENQUE_00971,VLIQ,Cerrada,PALENQUE,VILLAHERMOSA,1,FARMACIAS DEL AHORRO,N,PERIFERICO SUR,,S/N,PALENQUE CENTRO,,CHIAPAS,PALENQUE,PROVINCIA,SURESTE
680,F A PALENQUE PALENQUE                          F,,FORE,Cerrada,PALENQUE,VILLAHERMOSA,87,FRANQ. PALENQUE,N,AV JUAREZ,,SIN NUMERO,CENTRO,PALENQUE,CHIAPAS,PALENQUE,PROVINCIA,SURESTE
1905,F A TUXTLA OCOZOCOAUTLA,01805 - TUX_TXOC_OCOZOCOAUTLA_01805,TXOC,Abierta,OCOZOCOAUTLA DE ESPINOZA,TUXTLA,1,FARMACIAS DEL AHORRO,S,AV. CENTRAL ESQ. 3A. ORIENTE SUR,,S/N,BARRIO SAN ANTONIO,OCOZOCOAUTLA DE ESPINOSA,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,PROVINCIA,SURESTE
1136,F A OCOZOCOAUTLA OCOZOCOAUTLA         F,,FOCO,Cerrada,OCOZOCOAUTLA DE ESPINOZA,TUXTLA,118,FRANQ. BOCHIL,S,AV CENTRAL ESQ 3A OTE SUR,,S/N,BARRIO DE SAN ANTONIO,OCOZOCOAUTLA DE ESPINOSA,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,PROVINCIA,SURESTE
23,F A OCOSINGO OCOSINGO,00360 - TUX_OCOC_OCOSINGO_00360,OCOC,Abierta,OCOSINGO,TUXTLA,1,FARMACIAS DEL AHORRO,S,1A ORIENTE SUR,,S/N,CENTRO,OCOSINGO,CHIAPAS,OCOSINGO,PROVINCIA,SURESTE
973,F A OCOSINGO PERIFERICO SUR,00909 - TUX_OCPS_PERIFÉRICO SUR_00909,OCPS,Abierta,OCOSINGO,TUXTLA,1,FARMACIAS DEL AHORRO,N,PERIFERICO SUR,,SIN NUMERO ,CANDELARIA,OCOSINGO,CHIAPAS,OCOSINGO,PROVINCIA,SURESTE
1054,F A OCOSINGO ISSTECH OCOSINGO         C,00958 - TUI_TXI1_ISSTECH OCOSINGO_00958,TXI1,Cerrada,OCOSINGO,TUXTLA,1,FARMACIAS DEL AHORRO,N,1A ORIENTE NORTE,,S/N,OCOSINGO CENTRO,,CHIAPAS,OCOSINGO,PROVINCIA,SURESTE
454,F A OCOSINGO OCOSINGO  ISS                      C,00835 - (NO UTILIZAR) TUX_IS09_OCOSINGO_00835,IS09,Cerrada,OCOSINGO,TUXTLA,1,FARMACIAS DEL AHORRO,N,1A CALLE ORIENTE SUR,,SN,GUADALUPE,PENDIENTE,CHIAPAS,OCOSINGO,PROVINCIA,SURESTE
1061,F A MOTOZINTLA ISSTECH MOTOZINTLA         C,00965 - TUI_TPIZ_ISSTECH MOTOZINTLA_00965,TPIZ,Cerrada,MOTOZINTLA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,SEPTIMA NORTE,,S/N,MOTOZINTLA DE MENDOZA CENTRO,,CHIAPAS,MOTOZINTLA,PROVINCIA,SURESTE
374,F A MAPASTEPEC SARABIA,00361 - TAP_MASA_SARABIA_00361,MASA,Abierta,MAPASTEPEC,TAPACHULA,1,FARMACIAS DEL AHORRO,S,AVENIDA CENTRAL,,S/N,CENTRO,MAPASTEPEC,CHIAPAS,MAPASTEPEC,PROVINCIA,SURESTE
2178,F A TAPACHULA COLON HUIXTLA,01963 - TAP_TPCH_COLON HUIXTLA_01963,TPCH,Abierta,HUIXTLA,TAPACHULA,1,FARMACIAS DEL AHORRO,S,NEGRETE Y AVENIDA CENTRAL,,55,CENTRO,HUIXTLA,CHIAPAS,HUIXTLA,PROVINCIA,SURESTE
221,F A HUIXTLA HUIXTLA,00111 - TAP_TPHU_HUIXTLA_00111,TPHU,Abierta,HUIXTLA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,MORELOS ORIENTE,,5,CENTRO,HUIXTLA,CHIAPAS,HUIXTLA,PROVINCIA,SURESTE
1060,F A HUIXTLA ISSTECH HUIXTLA            C,00964 - TUI_TPIM_ISSTECH HUIXTLA_00964,TPIM,Cerrada,HUIXTLA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,MADERO PONIENTE,,1,FRANCISCO I MADERO,,CHIAPAS,HUIXTLA,PROVINCIA,SURESTE
222,F A HUIXTLA ZARAGOZA,00112 - TAP_HUZA_ZARAGOZA_00112,HUZA,Abierta,HUIXTLA,TAPACHULA,1,FARMACIAS DEL AHORRO,S,CENTRAL NORTE Y AV.  ZARAGOZA,,S/N,CENTRO,HUIXTLA,CHIAPAS,HUIXTLA,PROVINCIA,SURESTE
2261,F A TUXTLA 1a SUR,02037 - TUX_TX1S_1a SUR_02037,TX1S,Abierta,COMALAPA,TUXTLA,1,FARMACIAS DEL AHORRO,S,1A. CALLE SUR ORIENTE,,19,CENTRO,FRONTERA COMALAPA,CHIAPAS,FRONTERA COMALAPA,PROVINCIA,SURESTE
1710,F A TUXTLA GTZ FRONTERA COMALAPA,01686 - TUX_TXFC_FRONTERA COMALAPA_01686,TXFC,Abierta,COMALAPA,TUXTLA,1,FARMACIAS DEL AHORRO,S,AV CENTRAL NORTE,,10,CENTRO,FRONTERA COMALAPA,CHIAPAS,FRONTERA COMALAPA,PROVINCIA,SURESTE
1065,F A COMALAPA ISSTECH FRONTERA COMALAPA,00969 - TUI_TPIC_ISSTECH FRONTERA COMALAPA_00969,TPIC,Cerrada,COMALAPA,TUXTLA,1,FARMACIAS DEL AHORRO,N,CENTRAL PONIENTE,B,24,FRONTERA COMALAPA,,CHIAPAS,FRONTERA COMALAPA,PROVINCIA,SURESTE
473,F A COMALAPA FRONTERA COMALAPA                  F,,F0FC,Cerrada,COMALAPA,TUXTLA,43,FRANQ. COMALAPA,S,AV CENTRAL NORTE,,10,CENTRO,FRONTERA COMALAPA,CHIAPAS,FRONTERA COMALAPA,PROVINCIA,SURESTE
2324,F A TUXTLA 6A SUR,02092 - TUX_TX6S_6A SUR _02092,TX6S,Cerrada,TUXTLA GUTIERREZ,TUXTLA,1,FARMACIAS DEL AHORRO,S,6A CA SUR ORIENTE,,85,SAN AGUSTIN,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
2216,F A TUXTLA 3A NORTE,02005 - TUX_TX3N_3A NORTE_02005,TX3N,Abierta,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,3A CALLE NORTE PONIENTE,,S/N,GUADALUPE,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
1976,F A TUXTLA LA PILETA,01814 - TUX_TXLP_LA PILETA_01814,TXLP,Abierta,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,S,BOULEVARD BELISARIO DOMINGUEZ,,83,BARRIO LA PILETA,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
350,F A COMITAN BOULEVARD,00040 - TUX_CMBO_BOULEVARD_00040,CMBO,Abierta,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,BOULEVARD BELIZARIO DOMINGUEZ,,S/N ,NICALOCOK,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
1826,F A COMITAN MERCADO ALTAMIRANO,01275 - CTM_CTMX_MERCADO ALTAMIRANO_01275,CTMX,Cerrada,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,AAAAAAA,,A ,COMITAN DE DOMINGUEZ CENTRO,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
906,F A COMITAN 3A NORTE F,,F1C3,Cerrada,COMITAN DE DOMINGUEZ,TUXTLA,117,FRANQ. COMITAN,N,3A NORTE PONIENTE,,S/N ,CRUZ GRANDE,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
33,F A COMITAN PARQUE,00039 - TUX_CMPA_PARQUE_00039,CMPA,Abierta,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,1A. CALLE SUR ORIENTE,,1,CENTRO,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
1058,F A COMITAN ISSTECH COMITAN         C,00962 - TUI_TXIZ_ISSTECH COMITAN_00962,TXIZ,Cerrada,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,2A CALLE SUR ORIENTE,,30,CENTRO,,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
1118,F A COMITAN ISECH COMITAN        C         C,01057 - TUX_TXIC_ISECH COMITAN_01057,TXIC,Cerrada,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,S,9A CALLE SUR ORIENTE,,S/N,SAN SEBASTIAN,,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
459,F A COMITAN HOSPITAL COMITAN                    C,00824 - (NO UTILIZAR) TUX_IS04_ISSSTECH COMITAN_00824,IS04,Cerrada,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,S,2A. SUR ORIENTE 30,,0,CAN DE DOMINGUEZ CENTRO,CHIAPAS,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
869,F A COMITAN 3A NORTE          C,00810 - TUX_CM3A_COMITAN 3A NORTE_00810,CM3A,Cerrada,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,3A NORTE PONIENTE,,S/N,CRUZ GRANDE,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
21,F A COMITAN COMITAN,00037 - TUX_TXCM_COMITAN_00037,TXCM,Abierta,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,N,2A. AVENIDA ORIENTE SUR,,41,CENTRO,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
22,F A COMITAN TIANGUIS,00038 - TUX_CMTI_TIANGUIS_00038,CMTI,Abierta,COMITAN DE DOMINGUEZ,TUXTLA,1,FARMACIAS DEL AHORRO,S,1A SUR PONIENTE,,S/N,CENTRO,COMITAN DE DOMINGUEZ,CHIAPAS,COMITAN DE DOMINGUEZ,PROVINCIA,SURESTE
2158,F A TUXTLA CINTALAPA II,01926 - TUX_TXC2_CINTALAPA II_01926,TXC2,Abierta,CINTALAPA,TUXTLA,1,FARMACIAS DEL AHORRO,N,CALLE CENTRAL ESQ 1A AV NORTE,,S / N,CENTRO,CINTALAPA,CHIAPAS,CINTALAPA,PROVINCIA,SURESTE
1906,F A TUXTLA CINTALAPA,01806 - TUX_TXCI_CINTALAPA_01806,TXCI,Abierta,CINTALAPA,TUXTLA,1,FARMACIAS DEL AHORRO,S,AV. CENTRAL PONIENTE,,113 ,CENTRO,CINTALAPA DE FIGUEROA,CHIAPAS,CINTALAPA,PROVINCIA,SURESTE
1053,F A CINTALAPA ISSTECH CINTALAPA         C,00957 - TUI_TXIF_ISSTECH CINTALAPA_00957,TXIF,Cerrada,CINTALAPA,TUXTLA,1,FARMACIAS DEL AHORRO,N,9A SUR PONIENTE,,S/N,CINTALAPA DE FIGUEROA CENTRO,,CHIAPAS,CINTALAPA,PROVINCIA,SURESTE
1398,F A CINTALAPA CINTALAPA         F,,FCIN,Cerrada,CINTALAPA,TUXTLA,118,FRANQ. BOCHIL,S,AV CENTRAL PONIENTE,,113,CINTALAPA DE FIGUEROA CENTRO,CINTALAPA DE FIGUEROA,CHIAPAS,CINTALAPA,PROVINCIA,SURESTE
465,F A CINTALAPA CINTALAPA                         C,00823 - (NO UTILIZAR) TUX_IS11_ISSSTECH CINTALAPA_00823,IS11,Cerrada,CINTALAPA,TUXTLA,1,FARMACIAS DEL AHORRO,N,9A. SUR,,S/N,GUADALUPE,CHIAPAS,CHIAPAS,CINTALAPA,PROVINCIA,SURESTE
1904,F A TUXTLA BOCHIL,01804 - TUX_TXBC_BOCHIL_01804,TXBC,Abierta,BOCHIL,TUXTLA,1,FARMACIAS DEL AHORRO,S,CALLE CENTRAL,,1,CENTRO,BOCHIL,CHIAPAS,BOCHIL,PROVINCIA,SURESTE
907,F A BOCHIL BOCHIL     F,,F1BO,Cerrada,BOCHIL,TUXTLA,118,FRANQ. BOCHIL,N,CENTRAL,,1,BOCHIL,TUXTLA GUTIERREZ,CHIAPAS,BOCHIL,PROVINCIA,SURESTE
1052,F A BOCHIL ISSTECH BOCHIL         C,00956 - TUI_TXIL_ISSTECH BOCHIL_00956,TXIL,Cerrada,BOCHIL,TUXTLA,1,FARMACIAS DEL AHORRO,N,1A NORTE ORIENTE,,S/N,BOCHIL,,CHIAPAS,BOCHIL,PROVINCIA,SURESTE
477,F A BOCHIL BOCHIL                               C,00822 - (NO UTILIZAR) TUX_IS06_ISSSTECH BOCHIL_00822,IS06,Cerrada,BOCHIL,TUXTLA,1,FARMACIAS DEL AHORRO,N,CALLE CENTRAL,,20,BOCHIL,CHIAPAS,CHIAPAS,BOCHIL,PROVINCIA,SURESTE
231,F A ARRIAGA 1A. NORTE,00364 - TAP_AR1N_1A NORTE_00364,AR1N,Abierta,ARRIAGA,TAPACHULA,1,FARMACIAS DEL AHORRO,S,1A NORTE,,2-B,CENTRO,ARRIAGA,CHIAPAS,ARRIAGA,PROVINCIA,SURESTE
1063,F A ARRIAGA ISSTECH ARRIAGA         C,00967 - TUI_TPI7_ISSTECH ARRIAGA_00967,TPI7,Cerrada,ARRIAGA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,7A CALLE NORTE,,20,ARRIAGA,,CHIAPAS,ARRIAGA,PROVINCIA,SURESTE
455,F A ARRIAGA HOSPITAL                           C,00818 - (NO UTILIZAR) TAP_IS10_ISSSTECH ARRIAGA_00818,IS10,Cerrada,ARRIAGA,TAPACHULA,1,FARMACIAS DEL AHORRO,N,CALLEJON FERROCARRIL,,S/N,EL CALVARIO,CHIAPAS,CHIAPAS,ARRIAGA,PROVINCIA,SURESTE
2281,F A CIUDAD JUAREZ PLUTARCO,02057 - JUA_JZPL_PLUTARCO_02057,JZPL,Abierta,CIUDAD JUAREZ,CIUDAD JUAREZ,1,FARMACIAS DEL AHORRO,S,AVENIDA PLUTARCO ELIAS CALLES,,1192,LA RAZA,JUAREZ,CHIHUAHUA,JUAREZ,PROVINCIA,NORTE
2285,F A CIUDAD JUAREZ VICENTE GUERRERO,02061 - JUA_JZVG_VICENTE GUERRERO_02061,JZVG,Abierta,CIUDAD JUAREZ,CIUDAD JUAREZ,1,FARMACIAS DEL AHORRO,S,AVENIDA PASEO TRIUNFO DE LA REPUBLICA,,429,UNIDAD HAB. EMILIANO ZAPATA,JUAREZ,CHIHUAHUA,JUAREZ,PROVINCIA,NORTE
2085,F A CIUDAD JUAREZ CENTRAL,01862 - JUA_JZCT_CENTRAL_01862,JZCT,Abierta,CIUDAD JUAREZ,CIUDAD JUAREZ,1,FARMACIAS DEL AHORRO,S,ALTOS HORNOS,,5689,LAS ACACIAS,JUAREZ,CHIHUAHUA,JUAREZ,PROVINCIA,NORTE
2119,F A CIUDAD JUAREZ ZARAGOZA,01894 - JUA_JZZA_ZARAGOZA_01894,JZZA,Abierta,CIUDAD JUAREZ,CIUDAD JUAREZ,1,FARMACIAS DEL AHORRO,S,BOULEVARD ZARAGOZA SUR,LOCAL A,0,LOMAS DE SAN JOSE,JUAREZ,CHIHUAHUA,JUAREZ,PROVINCIA,NORTE
2072,F A CIUDAD JUAREZ PASEO TRIUNFO,01851 - JUA_JZTR_PASEO TRIUNFO_01851,JZTR,Abierta,CIUDAD JUAREZ,CIUDAD JUAREZ,1,FARMACIAS DEL AHORRO,S,AVENIDA PASEO TRIUNFO DE LA REPUBLICA,LOCAL 1,5445,PARTIDO DIAZ,JUAREZ,CHIHUAHUA,JUAREZ,PROVINCIA,NORTE
2199,F A CIUDAD JUAREZ MISIONES,01989 - JUA_JZMI_MISIONES_01989,JZMI,Cerrada,CIUDAD JUAREZ,CIUDAD JUAREZ,1,FARMACIAS DEL AHORRO,S,TEOFILO BORUNDA,A,8670,PARTIDO IGLESIAS,JUAREZ,CHIHUAHUA,JUAREZ,PROVINCIA,NORTE
